framename,precision,recall,f1,accuracy
arrest,0.927536231884058,0.47058823529411764,0.624390243902439,0.5416666666666666
bible,0.9811320754716981,0.8524590163934426,0.9122807017543859,0.8529411764705882
camera,0.990990990990991,0.8527131782945736,0.9166666666666666,0.855072463768116
chef,0.917910447761194,0.9609375,0.9389312977099237,0.89937106918239
church,0.9862068965517241,0.910828025477707,0.9470198675496688,0.9144385026737968
concert_hall,0.9914529914529915,1.0,0.9957081545064378,0.9942196531791907
cook,0.8588235294117647,0.6347826086956522,0.73,0.6687116564417178
darkroom,0.946236559139785,0.7927927927927928,0.8627450980392157,0.7971014492753623
frying_pan,0.9523809523809523,0.9433962264150944,0.9478672985781991,0.9230769230769231
hair_salon,0.9844961240310077,0.9844961240310077,0.9844961240310077,0.9735099337748344
haircut,0.959349593495935,0.944,0.9516129032258065,0.9205298013245033
hairdresser,0.9876543209876543,0.963855421686747,0.975609756097561,0.971830985915493
handcuffs,1.0,0.5360824742268041,0.697986577181208,0.5754716981132075
microphone,0.9753086419753086,0.9186046511627907,0.9461077844311377,0.9217391304347826
photographer,1.0,0.9029850746268657,0.9490196078431372,0.91875
police_officer,0.9747899159663865,0.8992248062015504,0.9354838709677419,0.9047619047619048
preach,0.925,0.961038961038961,0.9426751592356688,0.9224137931034483
prison,0.9537037037037037,0.9903846153846154,0.9716981132075472,0.9495798319327731
restaurant,0.974025974025974,0.8333333333333334,0.8982035928143712,0.8583333333333333
scissors,0.9454545454545454,0.6046511627906976,0.7375886524822695,0.6636363636363637
sing,0.9873417721518988,0.8210526315789474,0.896551724137931,0.8656716417910447
singer,0.95,0.8085106382978723,0.8735632183908046,0.8625
take_photo,0.78125,0.7352941176470589,0.7575757575757576,0.762962962962963
vicar,0.979381443298969,0.9693877551020408,0.9743589743589743,0.9590163934426229
AVERAGE,0.9554344462556892,0.8454749729363614,0.8903392143619943,0.8532211389692511
